year,month,orig,dest,count
2015,8,E01008958,E01008952,21
2015,8,E01008958,E01009219,109
2015,8,E01008959,E01008961,26
2015,8,E01008959,E01009119,14
2015,8,E01008959,E01009219,14
2015,8,E01008960,E01009219,15
2015,8,E01008961,E01008957,18
2015,8,E01008961,E01008961,18
2015,8,E01008961,E01009018,15
2015,8,E01008961,E01009107,13
2015,8,E01008961,E01009118,21
2015,8,E01008961,E01009119,104
2015,8,E01008961,E01009175,16
2015,8,E01008961,E01009178,35
2015,8,E01008961,E01009206,11
2015,8,E01008961,E01009219,87
2015,8,E01008961,E01009281,14
2015,8,E01008961,E01009284,23
2015,8,E01008961,E01010192,31
2015,8,E01008961,E01010201,13
2015,8,E01008961,E01033562,44
2015,8,E01008961,E01033620,21
2015,8,E01008962,E01009218,11
2015,8,E01008962,E01009219,145
2015,8,E01008963,E01008952,27
2015,8,E01008963,E01008963,12
