lsoa11cd,measure,value
E01009763,2008,235
E01009764,2008,355
E01009765,2008,380
E01009766,2008,332
E01009767,2008,396
E01009768,2008,371
E01009769,2008,337
E01009770,2008,378
E01009771,2008,630
E01009772,2008,166
E01009773,2008,419
E01009774,2008,417
E01009775,2008,345
E01009776,2008,401
E01009777,2008,349
E01009778,2008,344
E01009779,2008,433
E01009780,2008,143
E01009781,2008,404
E01009782,2008,352
E01009783,2008,360
E01009784,2008,170
E01009785,2008,558
E01009786,2008,249
E01009787,2008,267
E01009788,2008,377
E01009789,2008,329
E01009790,2008,366
E01009791,2008,371
E01009792,2008,289
E01009793,2008,267
E01009794,2008,543
E01009795,2008,256
E01009796,2008,331
E01009797,2008,459
E01009798,2008,371
E01009799,2008,484
E01009800,2008,468
E01009801,2008,532
E01009802,2008,419
E01009803,2008,534
E01009804,2008,373
E01009805,2008,371
E01009806,2008,371
E01009807,2008,627
E01009808,2008,374
E01009809,2008,368
E01009810,2008,543
E01009811,2008,448
E01009812,2008,369
E01009813,2008,361
E01009814,2008,468
E01009815,2008,292
E01009816,2008,440
E01009817,2008,452
E01009818,2008,344
E01009819,2008,290
E01009820,2008,436
E01009821,2008,527
E01009822,2008,577
E01009823,2008,318
E01009824,2008,420
E01009825,2008,360
E01009826,2008,551
E01009827,2008,476
E01009828,2008,425
E01009829,2008,460
E01009830,2008,527
E01009831,2008,395
E01009832,2008,388
E01009833,2008,179
E01009834,2008,405
E01009835,2008,214
E01009836,2008,314
E01009837,2008,277
E01009838,2008,369
E01009839,2008,355
E01009840,2008,261
E01009841,2008,332
E01009842,2008,325
E01009843,2008,382
E01009844,2008,264
E01009845,2008,503
E01009846,2008,471
E01009847,2008,432
E01009848,2008,357
E01009849,2008,360
E01009850,2008,449
E01009851,2008,419
E01009852,2008,523
E01009853,2008,608
E01009854,2008,520
E01009855,2008,570
E01009856,2008,403
E01009857,2008,311
E01009858,2008,427
E01009859,2008,434
E01009860,2008,572
E01009861,2008,315
E01009862,2008,367
E01009863,2008,224
E01009864,2008,292
E01009865,2008,416
E01009866,2008,364
E01009867,2008,428
E01009868,2008,309
E01009869,2008,318
E01009870,2008,237
E01009871,2008,396
E01009872,2008,238
E01009873,2008,373
E01009874,2008,269
E01009875,2008,419
E01009876,2008,376
E01009877,2008,326
E01009878,2008,434
E01009879,2008,268
E01009880,2008,287
E01009881,2008,502
E01009882,2008,320
E01009883,2008,292
E01009884,2008,321
E01009885,2008,413
E01009886,2008,553
E01009887,2008,335
E01009888,2008,377
E01009889,2008,320
E01009890,2008,287
E01009891,2008,235
E01009892,2008,261
E01009893,2008,239
E01009894,2008,352
E01009895,2008,386
E01009896,2008,486
E01009897,2008,563
E01009898,2008,555
E01009899,2008,563
E01009900,2008,632
E01009901,2008,496
E01009902,2008,444
E01009903,2008,505
E01009904,2008,478
E01009905,2008,383
E01009906,2008,404
E01009907,2008,289
E01009908,2008,309
E01009909,2008,417
E01009910,2008,428
E01009911,2008,390
E01009912,2008,388
E01009913,2008,431
E01009914,2008,499
E01009915,2008,406
E01009916,2008,381
E01009917,2008,317
E01009918,2008,366
E01009919,2008,390
E01009920,2008,265
E01009921,2008,213
E01009922,2008,274
E01009923,2008,390
E01009924,2008,258
E01009925,2008,250
E01009926,2008,204
E01009927,2008,219
E01009928,2008,228
E01009929,2008,405
E01009930,2008,391
E01009931,2008,366
E01009932,2008,446
E01009933,2008,247
E01009934,2008,280
E01009935,2008,473
E01009936,2008,454
E01009937,2008,337
E01009938,2008,400
E01009939,2008,375
E01009940,2008,354
E01009941,2008,365
E01009942,2008,373
E01009943,2008,313
E01009944,2008,328
E01009946,2008,455
E01009947,2008,412
E01009948,2008,404
E01009949,2008,415
E01009950,2008,429
E01009951,2008,282
E01009952,2008,270
E01009953,2008,371
E01009954,2008,525
E01009955,2008,441
E01009956,2008,335
E01009957,2008,268
E01009958,2008,374
E01009959,2008,326
E01009960,2008,356
E01009961,2008,354
E01009962,2008,251
E01009963,2008,235
E01009964,2008,244
E01009965,2008,209
E01009966,2008,204
E01009967,2008,376
E01009968,2008,414
E01009969,2008,272
E01009970,2008,384
E01009971,2008,299
E01009972,2008,521
E01009973,2008,244
E01009974,2008,455
E01009975,2008,466
E01009976,2008,259
E01009977,2008,222
E01009978,2008,421
E01009979,2008,407
E01009980,2008,424
E01009981,2008,369
E01009982,2008,246
E01009983,2008,320
E01009985,2008,394
E01009986,2008,250
E01009987,2008,222
E01009988,2008,385
E01009989,2008,346
E01009991,2008,391
E01009992,2008,274
E01009993,2008,427
E01009994,2008,323
E01009995,2008,332
E01009996,2008,353
E01009997,2008,267
E01009998,2008,326
E01009999,2008,298
E01010000,2008,426
E01010001,2008,480
E01010002,2008,292
E01010003,2008,324
E01010004,2008,374
E01010005,2008,294
E01010006,2008,341
E01010007,2008,290
E01010008,2008,398
E01010009,2008,298
E01010010,2008,245
E01010011,2008,414
E01010012,2008,402
E01010013,2008,421
E01010014,2008,473
E01010015,2008,336
E01010016,2008,218
E01010017,2008,384
E01010018,2008,333
E01010019,2008,212
E01010020,2008,398
E01010021,2008,264
E01010022,2008,405
E01010023,2008,467
E01010024,2008,420
E01010025,2008,355
E01010026,2008,520
E01010027,2008,371
E01010028,2008,278
E01010029,2008,306
E01010030,2008,334
E01010031,2008,340
E01010032,2008,123
E01010033,2008,366
E01010034,2008,128
E01010035,2008,412
E01010036,2008,156
E01010037,2008,181
E01010038,2008,289
E01010039,2008,277
E01010040,2008,396
E01010041,2008,390
E01010042,2008,423
E01010043,2008,388
E01010044,2008,351
E01010045,2008,306
E01010046,2008,120
E01010047,2008,270
E01010048,2008,208
E01010049,2008,311
E01010050,2008,261
E01010051,2008,255
E01010052,2008,220
E01010053,2008,221
E01010054,2008,418
E01010055,2008,196
E01010056,2008,363
E01010057,2008,391
E01010058,2008,377
E01010059,2008,137
E01010060,2008,244
E01010061,2008,150
E01010062,2008,317
E01010063,2008,209
E01010064,2008,315
E01010065,2008,132
E01010066,2008,364
E01010067,2008,210
E01010068,2008,407
E01010069,2008,185
E01010070,2008,288
E01010071,2008,250
E01010072,2008,258
E01010073,2008,226
E01010074,2008,416
E01010075,2008,118
E01010076,2008,377
E01010077,2008,362
E01010078,2008,461
E01010079,2008,319
E01010080,2008,258
E01010081,2008,326
E01010082,2008,273
E01010083,2008,351
E01010084,2008,280
E01010085,2008,318
E01010086,2008,298
E01010087,2008,303
E01010088,2008,231
E01010089,2008,323
E01010090,2008,374
E01010091,2008,328
E01010092,2008,387
E01010093,2008,231
E01010094,2008,244
E01010095,2008,208
E01010096,2008,499
E01010097,2008,572
E01010098,2008,444
E01010099,2008,363
E01010100,2008,301
E01010101,2008,499
E01010102,2008,358
E01010103,2008,338
E01010104,2008,477
E01010105,2008,246
E01010106,2008,276
E01010107,2008,242
E01010108,2008,533
