lsoa11cd,n_tot,cluster,cluster_prop
E01008966,195,1,0.46153846153846156
E01008966,195,2,0.13846153846153847
E01008966,195,3,0.06153846153846154
E01008966,195,4,0.09230769230769231
E01008966,195,5,0.07692307692307693
E01008966,195,6,0.16923076923076924
E01008967,335,1,0.4835820895522388
E01008967,335,2,0.208955223880597
E01008967,335,3,0.08955223880597014
E01008967,335,4,0.06567164179104477
E01008967,335,5,0.041791044776119404
E01008967,335,6,0.11044776119402985
E01008968,346,1,0.37572254335260113
E01008968,346,2,0.23121387283236994
E01008968,346,3,0.10115606936416185
E01008968,346,4,0.07803468208092486
E01008968,346,5,0.07225433526011561
E01008968,346,6,0.1416184971098266
E01008969,255,1,0.5019607843137255
E01008969,255,2,0.13725490196078433
E01008969,255,3,0.08235294117647059
E01008969,255,4,0.09019607843137255
E01008969,255,5,0.054901960784313725
E01008969,255,6,0.13333333333333333
E01008970,236,1,0.5169491525423728
E01008970,236,2,0.2245762711864407
E01008970,236,3,0.06779661016949153
E01008970,236,4,0.08050847457627118
E01008970,236,6,0.11016949152542373
E01008971,316,1,0.40822784810126583
E01008971,316,2,0.15822784810126583
E01008971,316,3,0.0981012658227848
E01008971,316,4,0.06962025316455696
E01008971,316,5,0.0759493670886076
E01008971,316,6,0.189873417721519
E01008972,206,1,0.3786407766990291
E01008972,206,2,0.11165048543689321
E01008972,206,3,0.06310679611650485
E01008972,206,4,0.12135922330097088
E01008972,206,5,0.10194174757281553
E01008972,206,6,0.22330097087378642
E01008973,280,1,0.48214285714285715
E01008973,280,2,0.15714285714285714
E01008973,280,3,0.09285714285714286
E01008973,280,4,0.060714285714285714
E01008973,280,5,0.07142857142857142
E01008973,280,6,0.1357142857142857
E01008974,249,1,0.5301204819277109
E01008974,249,2,0.1646586345381526
E01008974,249,3,0.0963855421686747
E01008974,249,4,0.060240963855421686
E01008974,249,6,0.14859437751004015
E01008975,298,1,0.5201342281879194
E01008975,298,2,0.14093959731543623
E01008975,298,3,0.08389261744966443
E01008975,298,4,0.07046979865771812
E01008975,298,5,0.0436241610738255
E01008975,298,6,0.14093959731543623
E01008976,279,1,0.3906810035842294
E01008976,279,2,0.16845878136200718
E01008976,279,3,0.10752688172043011
E01008976,279,4,0.10752688172043011
E01008976,279,5,0.07885304659498207
E01008976,279,6,0.14695340501792115
E01008977,183,1,0.5573770491803278
E01008977,183,2,0.12021857923497267
E01008977,183,3,0.07103825136612021
E01008977,183,4,0.06557377049180328
E01008977,183,6,0.18579234972677597
E01008978,192,1,0.3958333333333333
E01008978,192,2,0.09375
E01008978,192,3,0.08333333333333333
E01008978,192,4,0.109375
E01008978,192,5,0.08854166666666667
E01008978,192,6,0.22916666666666666
E01008979,278,1,0.42805755395683454
E01008979,278,2,0.09712230215827339
E01008979,278,3,0.11510791366906475
E01008979,278,4,0.07194244604316546
E01008979,278,5,0.09352517985611511
E01008979,278,6,0.19424460431654678
E01008980,252,1,0.36507936507936506
E01008980,252,2,0.09523809523809523
E01008980,252,3,0.11904761904761904
E01008980,252,4,0.10317460317460317
E01008980,252,5,0.0992063492063492
E01008980,252,6,0.21825396825396826
E01008981,300,1,0.42
E01008981,300,2,0.26666666666666666
E01008981,300,3,0.11
E01008981,300,4,0.06333333333333334
E01008981,300,5,0.04666666666666667
E01008981,300,6,0.09333333333333334
E01008982,124,1,0.4274193548387097
E01008982,124,2,0.25806451612903225
E01008982,124,4,0.10483870967741936
E01008982,124,6,0.20967741935483872
E01008984,201,1,0.3482587064676617
E01008984,201,2,0.07960199004975124
E01008984,201,3,0.0845771144278607
E01008984,201,4,0.09950248756218906
E01008984,201,5,0.09950248756218906
E01008984,201,6,0.2885572139303483
E01008986,88,1,0.5340909090909091
E01008986,88,2,0.22727272727272727
E01008986,88,6,0.23863636363636365
E01008987,136,1,0.41911764705882354
E01008987,136,2,0.08823529411764706
E01008987,136,3,0.08823529411764706
E01008987,136,4,0.09558823529411764
E01008987,136,5,0.08823529411764706
E01008987,136,6,0.22058823529411764
E01008988,112,1,0.5714285714285714
E01008988,112,2,0.10714285714285714
E01008988,112,3,0.11607142857142858
E01008988,112,6,0.20535714285714285
E01008989,206,1,0.4077669902912621
E01008989,206,2,0.13592233009708737
